="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Growth in sales aspirations (W3)   ",="Growth in customer aspirations (W3)   ",="Growth in size aspirations (W3)   ",="Growth in employee aspirations (W3)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations at W3 and W4 for sales",="           0.410   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.389)   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations at W3 and W4 for sales",="          -0.072   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.122)   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations at W3 and W4 for customer",="                   ",="           0.093   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.203)   ",="                   ",="                   "
="Business had optimistic aspirations at W3 and W4 for customer",="                   ",="          -0.460***",="                   ",="                   "
="                                                  ",="                   ",="         (0.111)   ",="                   ",="                   "
="Business had pessimistic aspirations at W3 and W4 for size",="                   ",="                   ",="           0.546***",="                   "
="                                                  ",="                   ",="                   ",="         (0.149)   ",="                   "
="Business had optimistic aspirations at W3 and W4 for size",="                   ",="                   ",="          -0.194   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.153)   ",="                   "
="Business had pessimistic aspirations at W3 and W4 for employee",="                   ",="                   ",="                   ",="           0.413** "
="                                                  ",="                   ",="                   ",="                   ",="         (0.176)   "
="Business had optimistic aspirations at W3 and W4 for employee",="                   ",="                   ",="                   ",="          -0.071   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.212)   "
="R-squared                                         ",="           0.159   ",="           0.283   ",="           0.236   ",="           0.279   "
="N                                                 ",="             238   ",="             242   ",="             242   ",="             177   "
="Dependent Variable Mean for realistic aspirers    ",="           0.000   ",="          -0.405   ",="           0.005   ",="           0.041   "
="* p<0.10, ** p<0.05, *** p<0.01"
