="aspirations growth (controlling for profits and exposure to flood)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Growth in sales aspirations (W3)   ",="Growth in sales aspirations (W3)   ",="Growth in sales aspirations (W3)   ",="Growth in customer aspirations (W3)   ",="Growth in customer aspirations (W3)   ",="Growth in customer aspirations (W3)   ",="Growth in size aspirations (W3)   ",="Growth in size aspirations (W3)   ",="Growth in size aspirations (W3)   ",="Growth in employee aspirations (W3)   ",="Growth in employee aspirations (W3)   ",="Growth in employee aspirations (W3)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations betw BL and W3 for sales",="           0.522** ",="           0.538** ",="           0.514** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.237)   ",="         (0.244)   ",="         (0.236)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations at W3 for sales",="          -0.870***",="          -0.890***",="          -0.869***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.124)   ",="         (0.129)   ",="         (0.127)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="W1_prof_est                                       ",="                   ",="           0.000   ",="                   ",="                   ",="          -0.000*  ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="          -0.000   ",="                   "
="                                                  ",="                   ",="         (0.000)   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="         (0.000)   ",="                   "
="W3_flood_lastyr                                   ",="                   ",="                   ",="          -0.184   ",="                   ",="                   ",="          -0.189   ",="                   ",="                   ",="           0.103   ",="                   ",="                   ",="          -0.086   "
="                                                  ",="                   ",="                   ",="         (0.144)   ",="                   ",="                   ",="         (0.141)   ",="                   ",="                   ",="         (0.096)   ",="                   ",="                   ",="         (0.156)   "
="Business had pessimistic aspirations betw BL and W3 for customer",="                   ",="                   ",="                   ",="           0.649***",="           0.652***",="           0.652***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.139)   ",="         (0.142)   ",="         (0.141)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations at W3 for customer",="                   ",="                   ",="                   ",="          -0.259*  ",="          -0.257*  ",="          -0.255*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.139)   ",="         (0.141)   ",="         (0.140)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw BL and W3 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.647***",="           0.644***",="           0.648***",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.067)   ",="         (0.070)   ",="         (0.067)   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations at W3 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.396***",="          -0.396***",="          -0.399***",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.076)   ",="         (0.079)   ",="         (0.077)   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw BL and W3 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.372***",="           0.349***",="           0.371***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.099)   ",="         (0.103)   ",="         (0.100)   "
="Business had optimistic aspirations at W3 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.684***",="          -0.681***",="          -0.694***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.100)   ",="         (0.101)   ",="         (0.102)   "
="R-squared                                         ",="           0.412   ",="           0.417   ",="           0.417   ",="           0.458   ",="           0.466   ",="           0.462   ",="           0.580   ",="           0.577   ",="           0.582   ",="           0.558   ",="           0.557   ",="           0.559   "
="N                                                 ",="             238   ",="             234   ",="             238   ",="             242   ",="             237   ",="             242   ",="             242   ",="             237   ",="             242   ",="             177   ",="             174   ",="             177   "
="Dependent Variable Mean for realistic aspirers    ",="           0.689   ",="           0.689   ",="           0.689   ",="          -0.176   ",="          -0.176   ",="          -0.176   ",="           0.035   ",="           0.035   ",="           0.035   ",="           0.069   ",="           0.069   ",="           0.069   "
="* p<0.10, ** p<0.05, *** p<0.01"
