="aspirations growth(no controls, controlling for profits, flood risk, and exposure to floodig)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations betw W3 and W4 for sales",="           1.274***",="           1.245***",="           1.231***",="           1.294***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.373)   ",="         (0.375)   ",="         (0.361)   ",="         (0.376)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for sales",="          -0.684***",="          -0.705***",="          -0.731***",="          -0.678***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.158)   ",="         (0.168)   ",="         (0.146)   ",="         (0.159)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="W1_prof_est                                       ",="                   ",="          -0.000*  ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="           0.000   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   "
="W3_floodrisk_nextyr                               ",="                   ",="                   ",="          -0.039** ",="                   ",="                   ",="                   ",="           0.011   ",="                   ",="                   ",="                   ",="           0.021   ",="                   ",="                   ",="                   ",="          -0.009   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="         (0.016)   ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   "
="W3_flood_lastyr                                   ",="                   ",="                   ",="                   ",="          -0.108   ",="                   ",="                   ",="                   ",="           0.087   ",="                   ",="                   ",="                   ",="          -0.053   ",="                   ",="                   ",="                   ",="          -0.091   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.151)   ",="                   ",="                   ",="                   ",="         (0.145)   ",="                   ",="                   ",="                   ",="         (0.126)   ",="                   ",="                   ",="                   ",="         (0.092)   "
="Business had pessimistic aspirations betw W3 and W4 for customer",="                   ",="                   ",="                   ",="                   ",="           0.428***",="           0.418** ",="           0.433***",="           0.423***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.162)   ",="         (0.173)   ",="         (0.163)   ",="         (0.161)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for customer",="                   ",="                   ",="                   ",="                   ",="          -0.680***",="          -0.690***",="          -0.675***",="          -0.682***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.113)   ",="         (0.117)   ",="         (0.112)   ",="         (0.113)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw W3 and W4 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.355***",="           0.366***",="           0.340***",="           0.362***",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.091)   ",="         (0.094)   ",="         (0.092)   ",="         (0.092)   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.718***",="          -0.710***",="          -0.720***",="          -0.717***",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.088)   ",="         (0.092)   ",="         (0.087)   ",="         (0.089)   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw W3 and W4 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.388***",="           0.355***",="           0.403***",="           0.398***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.088)   ",="         (0.093)   ",="         (0.094)   ",="         (0.088)   "
="Business had optimistic aspirations betw W3 and W4 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.757***",="          -0.751***",="          -0.752***",="          -0.748***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.087)   ",="         (0.088)   ",="         (0.089)   ",="         (0.089)   "
="R-squared                                         ",="           0.494   ",="           0.497   ",="           0.506   ",="           0.495   ",="           0.561   ",="           0.559   ",="           0.562   ",="           0.562   ",="           0.629   ",="           0.625   ",="           0.633   ",="           0.629   ",="           0.678   ",="           0.680   ",="           0.679   ",="           0.680   "
="N                                                 ",="             209   ",="             204   ",="             209   ",="             209   ",="             210   ",="             205   ",="             210   ",="             210   ",="             210   ",="             205   ",="             210   ",="             210   ",="             167   ",="             163   ",="             167   ",="             167   "
="Dependent Variable Mean for realistic aspirers    ",="           0.519   ",="           0.519   ",="           0.519   ",="           0.519   ",="           0.523   ",="           0.523   ",="           0.523   ",="           0.523   ",="           0.161   ",="           0.161   ",="           0.161   ",="           0.161   ",="           0.071   ",="           0.071   ",="           0.071   ",="           0.071   "
="* p<0.10, ** p<0.05, *** p<0.01"
