="asp12 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.871   ",="                   ",="                   ",="                   ",="           0.059   ",="                   ",="                   ",="                   ",="           4.810** ",="                   ",="                   ",="                   ",="           0.077***",="                   ",="                   ",="                   "
="                                                  ",="         (1.966)   ",="                   ",="                   ",="                   ",="         (0.057)   ",="                   ",="                   ",="                   ",="         (2.162)   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.211   ",="                   ",="                   ",="                   ",="          -0.104   ",="                   ",="                   ",="                   ",="          -1.949   ",="                   ",="                   ",="                   ",="          -0.005   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.423)   ",="                   ",="                   ",="                   ",="         (0.282)   ",="                   ",="                   ",="                   ",="         (2.252)   ",="                   ",="                   ",="                   ",="         (0.020)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="          -0.091   ",="                   ",="                   ",="                   ",="           0.048   ",="                   ",="                   ",="                   ",="         -17.188***",="                   ",="                   ",="                   ",="           0.075** ",="                   "
="                                                  ",="                   ",="                   ",="         (0.551)   ",="                   ",="                   ",="                   ",="         (0.044)   ",="                   ",="                   ",="                   ",="         (5.281)   ",="                   ",="                   ",="                   ",="         (0.030)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           3.273***",="                   ",="                   ",="                   ",="           0.128***",="                   ",="                   ",="                   ",="          14.739***",="                   ",="                   ",="                   ",="           0.061   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.585)   ",="                   ",="                   ",="                   ",="         (0.042)   ",="                   ",="                   ",="                   ",="         (3.114)   ",="                   ",="                   ",="                   ",="         (0.038)   "
="R-squared                                         ",="           0.239   ",="           0.238   ",="           0.235   ",="           0.277   ",="           0.177   ",="           0.176   ",="           0.174   ",="           0.184   ",="           0.222   ",="           0.219   ",="           0.222   ",="           0.253   ",="           0.620   ",="           0.616   ",="           0.626   ",="           0.617   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1172   ",="            1172   ",="            1168   ",="            1172   "
="Dependent Variable Mean                           ",="          15.814   ",="          15.814   ",="          15.814   ",="          15.814   ",="           1.769   ",="           1.769   ",="           1.769   ",="           1.769   ",="          55.506   ",="          55.506   ",="          55.506   ",="          55.506   ",="           5.620   ",="           5.620   ",="           5.620   ",="           5.620   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
