="mainperf Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="         247.168   ",="                   ",="                   ",="                   ",="          82.649   ",="                   ",="                   ",="                   "
="                                                  ",="       (288.628)   ",="                   ",="                   ",="                   ",="        (56.254)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -1.557   ",="                   ",="                   ",="                   ",="         -22.287   ",="                   ",="                   "
="                                                  ",="                   ",="       (117.117)   ",="                   ",="                   ",="                   ",="        (34.614)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="         415.472** ",="                   ",="                   ",="                   ",="         173.792***",="                   "
="                                                  ",="                   ",="                   ",="       (200.342)   ",="                   ",="                   ",="                   ",="        (46.688)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="        1811.957***",="                   ",="                   ",="                   ",="         375.533***"
="                                                  ",="                   ",="                   ",="                   ",="       (354.335)   ",="                   ",="                   ",="                   ",="        (64.111)   "
="R-squared                                         ",="           0.541   ",="           0.539   ",="           0.544   ",="           0.597   ",="           0.133   ",="           0.129   ",="           0.143   ",="           0.200   "
="N                                                 ",="            1172   ",="            1172   ",="            1169   ",="            1172   ",="            1171   ",="            1171   ",="            1168   ",="            1171   "
="Dependent Variable Mean                           ",="        5127.120   ",="        5127.120   ",="        5127.120   ",="        5127.120   ",="         769.471   ",="         769.471   ",="         769.471   ",="         769.471   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
