="Size Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.007   ",="                   ",="                   ",="                   ",="          -0.024   ",="                   ",="                   ",="                   ",="           0.055** ",="                   ",="                   ",="                   ",="           1.668** ",="                   ",="                   ",="                   "
="                                                  ",="         (0.030)   ",="                   ",="                   ",="                   ",="         (0.028)   ",="                   ",="                   ",="                   ",="         (0.022)   ",="                   ",="                   ",="                   ",="         (0.744)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.104*  ",="                   ",="                   ",="                   ",="           0.086*  ",="                   ",="                   ",="                   ",="           0.047** ",="                   ",="                   ",="                   ",="           0.543*  ",="                   ",="                   "
="                                                  ",="                   ",="         (0.055)   ",="                   ",="                   ",="                   ",="         (0.048)   ",="                   ",="                   ",="                   ",="         (0.023)   ",="                   ",="                   ",="                   ",="         (0.301)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.063*  ",="                   ",="                   ",="                   ",="           0.043   ",="                   ",="                   ",="                   ",="           0.042*  ",="                   ",="                   ",="                   ",="           0.125   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.038)   ",="                   ",="                   ",="                   ",="         (0.038)   ",="                   ",="                   ",="                   ",="         (0.023)   ",="                   ",="                   ",="                   ",="         (0.332)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.080** ",="                   ",="                   ",="                   ",="          -0.037   ",="                   ",="                   ",="                   ",="           0.133***",="                   ",="                   ",="                   ",="           3.089***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.039)   ",="                   ",="                   ",="                   ",="         (0.032)   ",="                   ",="                   ",="                   ",="         (0.035)   ",="                   ",="                   ",="                   ",="         (0.418)   "
="R-squared                                         ",="           0.255   ",="           0.258   ",="           0.253   ",="           0.259   ",="           0.252   ",="           0.254   ",="           0.251   ",="           0.253   ",="           0.135   ",="           0.132   ",="           0.085   ",="           0.177   ",="           0.313   ",="           0.307   ",="           0.299   ",="           0.382   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   "
="Dependent Variable Mean                           ",="           2.061   ",="           2.061   ",="           2.061   ",="           2.061   ",="           1.915   ",="           1.915   ",="           1.915   ",="           1.915   ",="           0.146   ",="           0.146   ",="           0.146   ",="           0.146   ",="          12.789   ",="          12.789   ",="          12.789   ",="          12.789   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
