="aspgap12 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="          -0.040*  ",="                   ",="                   ",="                   ",="           0.022   ",="                   ",="                   ",="                   ",="           0.019   ",="                   ",="                   ",="                   ",="          -0.009   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="                   ",="                   ",="                   ",="         (0.036)   ",="                   ",="                   ",="                   ",="         (0.031)   ",="                   ",="                   ",="                   ",="         (0.038)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -0.022   ",="                   ",="                   ",="                   ",="          -0.173***",="                   ",="                   ",="                   ",="          -0.048   ",="                   ",="                   ",="                   ",="          -0.021   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.025)   ",="                   ",="                   ",="                   ",="         (0.039)   ",="                   ",="                   ",="                   ",="         (0.039)   ",="                   ",="                   ",="                   ",="         (0.045)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="          -0.018   ",="                   ",="                   ",="                   ",="           0.019   ",="                   ",="                   ",="                   ",="           0.017   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.028)   ",="                   ",="                   ",="                   ",="         (0.036)   ",="                   ",="                   ",="                   ",="         (0.046)   ",="                   ",="                   ",="                   ",="         (0.043)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.018   ",="                   ",="                   ",="                   ",="           0.011   ",="                   ",="                   ",="                   ",="           0.084** ",="                   ",="                   ",="                   ",="          -0.067   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.042)   ",="                   ",="                   ",="                   ",="         (0.031)   ",="                   ",="                   ",="                   ",="         (0.039)   ",="                   ",="                   ",="                   ",="         (0.047)   "
="R-squared                                         ",="           0.081   ",="           0.080   ",="           0.079   ",="           0.081   ",="           0.182   ",="           0.198   ",="           0.176   ",="           0.182   ",="           0.061   ",="           0.062   ",="           0.060   ",="           0.066   ",="           0.134   ",="           0.134   ",="           0.135   ",="           0.136   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1172   ",="            1172   ",="            1168   ",="            1172   "
="Dependent Variable Mean                           ",="           0.291   ",="           0.291   ",="           0.291   ",="           0.291   ",="           0.284   ",="           0.284   ",="           0.284   ",="           0.284   ",="           0.175   ",="           0.175   ",="           0.175   ",="           0.175   ",="           1.547   ",="           1.547   ",="           1.547   ",="           1.547   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
