="otherperf Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           1.668** ",="                   ",="                   ",="                   ",="           0.007   ",="                   ",="                   ",="                   ",="           5.090** ",="                   ",="                   ",="                   "
="                                                  ",="         (0.744)   ",="                   ",="                   ",="                   ",="         (0.030)   ",="                   ",="                   ",="                   ",="         (2.003)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.543*  ",="                   ",="                   ",="                   ",="           0.104*  ",="                   ",="                   ",="                   ",="          -0.423   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.301)   ",="                   ",="                   ",="                   ",="         (0.055)   ",="                   ",="                   ",="                   ",="         (1.098)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.125   ",="                   ",="                   ",="                   ",="           0.063*  ",="                   ",="                   ",="                   ",="           1.160   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.332)   ",="                   ",="                   ",="                   ",="         (0.038)   ",="                   ",="                   ",="                   ",="         (3.415)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           3.089***",="                   ",="                   ",="                   ",="           0.080** ",="                   ",="                   ",="                   ",="           9.200***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.418)   ",="                   ",="                   ",="                   ",="         (0.039)   ",="                   ",="                   ",="                   ",="         (2.127)   "
="R-squared                                         ",="           0.313   ",="           0.307   ",="           0.299   ",="           0.382   ",="           0.255   ",="           0.258   ",="           0.253   ",="           0.259   ",="           0.330   ",="           0.320   ",="           0.322   ",="           0.351   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   "
="Dependent Variable Mean                           ",="          12.789   ",="          12.789   ",="          12.789   ",="          12.789   ",="           2.061   ",="           2.061   ",="           2.061   ",="           2.061   ",="          50.717   ",="          50.717   ",="          50.717   ",="          50.717   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
