="Customers Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",="W3_custom_general   ",="W3_custom_general   ",="W3_custom_general   ",="W3_custom_general   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           5.090** ",="                   ",="                   ",="                   ",="           1.838** ",="                   ",="                   ",="                   ",="           3.429** ",="                   ",="                   ",="                   "
="                                                  ",="         (2.003)   ",="                   ",="                   ",="                   ",="         (0.792)   ",="                   ",="                   ",="                   ",="         (1.329)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -0.423   ",="                   ",="                   ",="                   ",="           0.344   ",="                   ",="                   ",="                   ",="          -0.619   ",="                   ",="                   "
="                                                  ",="                   ",="         (1.098)   ",="                   ",="                   ",="                   ",="         (0.460)   ",="                   ",="                   ",="                   ",="         (0.733)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           1.160   ",="                   ",="                   ",="                   ",="           2.376** ",="                   ",="                   ",="                   ",="           1.068   ",="                   "
="                                                  ",="                   ",="                   ",="         (3.415)   ",="                   ",="                   ",="                   ",="         (1.075)   ",="                   ",="                   ",="                   ",="         (2.523)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           9.200***",="                   ",="                   ",="                   ",="           3.495***",="                   ",="                   ",="                   ",="           6.318***"
="                                                  ",="                   ",="                   ",="                   ",="         (2.127)   ",="                   ",="                   ",="                   ",="         (0.768)   ",="                   ",="                   ",="                   ",="         (1.515)   "
="R-squared                                         ",="           0.330   ",="           0.320   ",="           0.322   ",="           0.351   ",="           0.254   ",="           0.245   ",="           0.254   ",="           0.276   ",="           0.323   ",="           0.312   ",="           0.314   ",="           0.346   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   "
="Dependent Variable Mean                           ",="          50.717   ",="          50.717   ",="          50.717   ",="          50.717   ",="          16.773   ",="          16.773   ",="          16.773   ",="          16.773   ",="          33.943   ",="          33.943   ",="          33.943   ",="          33.943   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
