="asp Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           3.719***",="                   ",="                   ",="                   ",="           0.199***",="                   ",="                   ",="                   ",="           7.559***",="                   ",="                   ",="                   "
="                                                  ",="         (0.985)   ",="                   ",="                   ",="                   ",="         (0.044)   ",="                   ",="                   ",="                   ",="         (2.876)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.479   ",="                   ",="                   ",="                   ",="           0.070   ",="                   ",="                   ",="                   ",="           2.853   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.780)   ",="                   ",="                   ",="                   ",="         (0.084)   ",="                   ",="                   ",="                   ",="         (3.300)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           1.296   ",="                   ",="                   ",="                   ",="           0.086   ",="                   ",="                   ",="                   ",="           4.437   ",="                   "
="                                                  ",="                   ",="                   ",="         (1.208)   ",="                   ",="                   ",="                   ",="         (0.060)   ",="                   ",="                   ",="                   ",="         (7.164)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           4.967***",="                   ",="                   ",="                   ",="           0.259***",="                   ",="                   ",="                   ",="          19.514***"
="                                                  ",="                   ",="                   ",="                   ",="         (1.208)   ",="                   ",="                   ",="                   ",="         (0.074)   ",="                   ",="                   ",="                   ",="         (4.418)   "
="R-squared                                         ",="           0.288   ",="           0.276   ",="           0.273   ",="           0.304   ",="           0.199   ",="           0.188   ",="           0.187   ",="           0.205   ",="           0.217   ",="           0.212   ",="           0.212   ",="           0.241   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   "
="Dependent Variable Mean                           ",="          26.992   ",="          26.992   ",="          26.992   ",="          26.992   ",="           2.215   ",="           2.215   ",="           2.215   ",="           2.215   ",="          75.700   ",="          75.700   ",="          75.700   ",="          75.700   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
