="aspfail Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.018   ",="                   ",="                   ",="                   ",="           0.013   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.013)   ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.012)   ",="                   ",="                   ",="                   ",="         (0.012)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.010   ",="                   ",="                   ",="                   ",="           0.006   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.011)   ",="                   ",="                   ",="                   ",="         (0.012)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="                   ",="                   ",="          -0.003   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   ",="                   ",="                   ",="         (0.011)   "
="R-squared                                         ",="           0.126   ",="           0.124   ",="           0.121   ",="           0.124   ",="           0.130   ",="           0.129   ",="           0.133   ",="           0.132   "
="N                                                 ",="            1174   ",="            1174   ",="            1170   ",="            1174   ",="            1174   ",="            1174   ",="            1170   ",="            1174   "
="Dependent Variable Mean                           ",="           0.150   ",="           0.150   ",="           0.150   ",="           0.150   ",="           0.211   ",="           0.211   ",="           0.211   ",="           0.211   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
