="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Business had realistic aspirations for sales   ",="Business had optimistic aspirations for sales   ",="Business had pessimistic aspirations for sales   ",="Business had realistic aspirations for customer   ",="Business had optimistic aspirations for customer   ",="Business had pessimistic aspirations for customer   ",="Business had realistic aspirations for size   ",="Business had optimistic aspirations for size   ",="Business had pessimistic aspirations for size   ",="Business had realistic aspirations for employee   ",="Business had optimistic aspirations for employee   ",="Business had pessimistic aspirations for employee   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="W1_sales_lastmth_ln                               ",="           0.010   ",="           0.009   ",="          -0.018** ",="           0.000   ",="          -0.024*  ",="           0.024*  ",="           0.023** ",="          -0.044***",="           0.021*  ",="          -0.015   ",="          -0.002   ",="           0.017   "
="                                                  ",="         (0.007)   ",="         (0.010)   ",="         (0.008)   ",="         (0.007)   ",="         (0.012)   ",="         (0.013)   ",="         (0.010)   ",="         (0.012)   ",="         (0.012)   ",="         (0.014)   ",="         (0.012)   ",="         (0.014)   "
="Business size (square meters)                     ",="           0.001   ",="          -0.003*  ",="           0.001   ",="          -0.000   ",="          -0.002   ",="           0.003   ",="          -0.001   ",="           0.014***",="          -0.013***",="           0.002   ",="          -0.001   ",="          -0.001   "
="                                                  ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.002)   ",="         (0.002)   ",="         (0.001)   ",="         (0.002)   ",="         (0.001)   ",="         (0.002)   ",="         (0.002)   ",="         (0.002)   "
="W1_custom_total                                   ",="          -0.000   ",="          -0.000   ",="           0.000   ",="          -0.000   ",="           0.003***",="          -0.002***",="          -0.000   ",="           0.000   ",="           0.000   ",="          -0.000   ",="           0.001   ",="          -0.000   "
="                                                  ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   ",="         (0.000)   "
="Total number of employees                         ",="           0.004   ",="           0.002   ",="          -0.006   ",="          -0.006   ",="           0.019   ",="          -0.013   ",="           0.003   ",="          -0.011   ",="           0.008   ",="          -0.098***",="           0.104***",="          -0.005   "
="                                                  ",="         (0.007)   ",="         (0.008)   ",="         (0.006)   ",="         (0.007)   ",="         (0.013)   ",="         (0.013)   ",="         (0.010)   ",="         (0.013)   ",="         (0.012)   ",="         (0.012)   ",="         (0.013)   ",="         (0.014)   "
="Assigned Handbook                                 ",="           0.002   ",="           0.019   ",="          -0.020   ",="          -0.041   ",="          -0.002   ",="           0.043   ",="          -0.040   ",="           0.060   ",="          -0.020   ",="           0.046   ",="          -0.015   ",="          -0.031   "
="                                                  ",="         (0.026)   ",="         (0.032)   ",="         (0.021)   ",="         (0.028)   ",="         (0.045)   ",="         (0.045)   ",="         (0.038)   ",="         (0.045)   ",="         (0.042)   ",="         (0.048)   ",="         (0.043)   ",="         (0.048)   "
