="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Growth in sales aspirations   ",="Growth in customer aspirations   ",="Growth in size aspirations   ",="Growth in employee aspirations   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations for sales    ",="           0.582***",="                   ",="                   ",="                   "
="                                                  ",="         (0.085)   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations for sales     ",="          -0.810***",="                   ",="                   ",="                   "
="                                                  ",="         (0.044)   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations for customer ",="                   ",="           0.520***",="                   ",="                   "
="                                                  ",="                   ",="         (0.058)   ",="                   ",="                   "
="Business had optimistic aspirations for customer  ",="                   ",="          -0.463***",="                   ",="                   "
="                                                  ",="                   ",="         (0.061)   ",="                   ",="                   "
="Business had pessimistic aspirations for size     ",="                   ",="                   ",="           0.597***",="                   "
="                                                  ",="                   ",="                   ",="         (0.032)   ",="                   "
="Business had optimistic aspirations for size      ",="                   ",="                   ",="          -0.483***",="                   "
="                                                  ",="                   ",="                   ",="         (0.033)   ",="                   "
="Business had pessimistic aspirations for employee ",="                   ",="                   ",="                   ",="           0.396***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.037)   "
="Business had optimistic aspirations for employee  ",="                   ",="                   ",="                   ",="          -0.656***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.041)   "
="R-squared                                         ",="           0.353   ",="           0.365   ",="           0.511   ",="           0.433   "
="N                                                 ",="            1160   ",="            1177   ",="            1181   ",="             884   "
="Dependent Variable Mean for realistic aspirers    ",="           0.628   ",="          -0.060   ",="           0.070   ",="           0.053   "
="* p<0.10, ** p<0.05, *** p<0.01"
